,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
0,3,Courtney Verhaalen,,,,1,0,1,0,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,COURTNEY VERHAALEN
1,4,Lien Hoffmann,,,"5'6""",2,3,3,3,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,LIEN HOFFMANN
2,5,Julianna Werffeli,,,,1,4,2,4,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,JULIANNA WERFFELI
3,6,Claudia Tajima,,,"5'6""",0,2,1,3,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,CLAUDIA TAJIMA
4,7,Kami Groom,,,,5,8,4,3,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,KAMI GROOM
5,9,Becca Ludford,,,"5'6""",4,0,1,1,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,BECCA LUDFORD
6,10,Amber Sinicrope,,,"1'0""",1,4,1,2,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,AMBER SINICROPE
7,13,Becky Malinowski,,,,5,2,2,4,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,BECKY MALINOWSKI
8,14,Tulsa Douglas,Handler,,"5'9""",0,1,3,3,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,TULSA DOUGLAS
9,15,Kimberly Culpan,,,"5'9""",0,0,1,0,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,KIMBERLY CULPAN
10,16,Erin Rea,Cutter,,,0,0,0,0,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,ERIN REA
11,17,Angela Zhu,,,"1'0""",0,6,1,4,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,ANGELA ZHU
12,21,Chelsea Murphy,,,"5'3""",2,2,0,2,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,CHELSEA MURPHY
13,22,Victoria Negus,,,,1,0,0,1,/events/teams/?EventTeamId=JygUDutCVvK8W5FFdnDp3gq0QbFd5Qvl5ny0mgHaKCE%3d,Brute Squad,2,VICTORIA NEGUS
