,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
17,0.0,Jeff Smith,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,JEFF SMITH
18,0.0,Amy Stoddard,,,"1'2""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,AMY STODDARD
19,0.0,Ivan Tran,Dump,,"2'3""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,IVAN TRAN
20,0.0,Ryan Turner,Deep,,"6'1""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,RYAN TURNER
21,0.0,Rachael Westgate,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,RACHAEL WESTGATE
22,0.0,Ryan Woodhouse,Defense (Cutter),,"5'11""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,RYAN WOODHOUSE
23,24.0,Andy Schachter,,,"5'10""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,ANDY SCHACHTER
24,25.0,Alexander Trahey,,,,4,1,0,4,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,ALEXANDER TRAHEY
0,,Mason Gardner,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,MASON GARDNER
1,,Peter Macarthur,Handler,,"5'10""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,PETER MACARTHUR
2,,Alex Piper,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,ALEX PIPER
3,0.0,Kristen Brenner,Handler/Cutter,,"5'2""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,KRISTEN BRENNER
4,0.0,Abigail Brook,Cutter,,"5'4""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,ABIGAIL BROOK
5,0.0,Scott Campbell,,,"6'4""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,SCOTT CAMPBELL
6,0.0,Brandon Cannell,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,BRANDON CANNELL
7,0.0,Grant Franke,Mid,,"1'1""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,GRANT FRANKE
8,0.0,Tsuki Hoshijima,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,TSUKI HOSHIJIMA
9,0.0,Alexander Koch,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,ALEXANDER KOCH
10,0.0,Genevieve Leo,Defense (Handler),,"5'4""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,GENEVIEVE LEO
11,0.0,Xavier Maxstadt,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,XAVIER MAXSTADT
12,0.0,Janie Mockrish,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,JANIE MOCKRISH
13,0.0,Maya Nir,Cutter,,"5'4""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,MAYA NIR
14,0.0,Leo Pierson,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,LEO PIERSON
15,0.0,Katina Russell,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,KATINA RUSSELL
16,0.0,Grayson Sanner,,,"5'7""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,GRAYSON SANNER
17,0.0,Haley Sanner,Handler,,"5'10""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,HALEY SANNER
18,0.0,O'Linda (Blaise) Sevier,,,"5'3""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,O'LINDA (BLAISE) SEVIER
19,0.0,Lauren Sitlinger,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,LAUREN SITLINGER
20,0.0,Maggie Soto,Cutter,,"6'0""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,MAGGIE SOTO
21,0.0,Neha Vaingankar,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,NEHA VAINGANKAR
22,0.0,Dane Warner,,,,0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,DANE WARNER
23,0.0,Anna Wysen,Handler,,"5'9""",0,0,0,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,ANNA WYSEN
24,19.0,Noah Newberger,,,,0,0,1,1,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,NOAH NEWBERGER
25,70.0,Brian O'Hara,,,,0,0,1,0,/events/teams/?EventTeamId=7d8fk769S8JhZN3l39%2f9w%2byF9DftQayxKskHG4M42Yo%3d,Rally,9,BRIAN O'HARA
