,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
15,23,Lillian White,Deep,,"5'5""",0,0,1,0,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,LILLIAN WHITE
16,24,Susan Gilbert,,,,2,0,3,2,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,SUSAN GILBERT
17,25,Tina Woodings,,,,2,4,6,8,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,TINA WOODINGS
18,27,Jamie Eriksson,Cutter,,"6'0""",1,0,0,0,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,JAMIE ERIKSSON
19,28,Anne Ortiz,Handler,,"5'6""",0,0,1,0,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,ANNE ORTIZ
20,29,Michelle Arceneaux,,,"5'9""",6,1,2,2,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,MICHELLE ARCENEAUX
21,31,Ashley Shelor,Defense (Cutter),,"5'6""",8,0,4,3,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,ASHLEY SHELOR
22,32,Rebecca Forth,,,"1'0""",2,3,5,15,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,REBECCA FORTH
23,41,Alexandra Klein,,,,1,0,0,0,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,ALEXANDRA KLEIN
0,3,Courtney Verhaalen,,,,1,0,1,0,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,COURTNEY VERHAALEN
1,4,Lien Hoffmann,,,"5'6""",6,8,10,6,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,LIEN HOFFMANN
2,5,Julianna Werffeli,,,,2,5,3,6,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,JULIANNA WERFFELI
3,6,Claudia Tajima,,,"5'6""",1,6,2,8,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,CLAUDIA TAJIMA
4,7,Kami Groom,,,,11,14,8,9,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,KAMI GROOM
5,9,Becca Ludford,,,"5'6""",6,0,2,2,/events/teams/?EventTeamId=6OfJeyJafNEGHtWVfrK8lXT967mdr6KdQPDaPtWQjbI%3d,Brute Squad,2,BECCA LUDFORD
